"","title","artist","top.genre","bpm","nrgy","dnce","live","val","dur","acous","spch","pop","country"
"541","Soltera - Remix","Lunay","latin",92,78,80,44,80,266,36,4,80,"chile"
"542","Imaginaste - Remix","Jhay Cortez","latin",90,71,85,34,60,247,4,9,79,"chile"
"543","Piropo","Noriel","latin",94,75,87,4,77,220,12,7,78,"chile"
"544","Infeliz","Arcangel","latin",176,80,71,25,72,221,37,22,74,"chile"
"545","La Cama","Lunay","latin",174,90,70,18,82,189,20,6,74,"chile"
"546","Mami","Paloma Mami","latin pop",95,72,80,17,51,195,15,5,73,"chile"
"547","Santa Claus Lleg� a La Ciudad","Luis Miguel","bolero",170,85,52,33,72,116,38,19,70,"chile"
"548","Navidad, Navidad","Luis Miguel","bolero",173,84,52,16,75,155,36,15,69,"chile"
"549","Alg�n D�a Volveras","Santaferia","cumbia chilena",94,71,65,5,69,254,37,3,68,"chile"
"550","Blanca Navidad","Luis Miguel","bolero",90,40,36,7,18,212,73,3,67,"chile"
"551","Dance Monkey","Tones and I","australian pop",98,59,82,15,51,209,69,9,100,"spain"
"552","ROXANNE","Arizona Zervas","pop rap",117,60,62,46,46,164,5,15,99,"spain"
"553","All I Want for Christmas Is You","Mariah Carey","dance pop",150,63,34,7,35,241,16,4,98,"spain"
"554","RITMO (Bad Boys For Life)","The Black Eyed Peas","dance pop",105,72,72,24,67,222,3,7,97,"spain"
"555","Tusa","KAROL G","latin",101,72,80,6,57,201,30,30,96,"spain"
"556","Santa Tell Me","Ariana Grande","dance pop",192,62,53,29,59,204,5,12,95,"spain"
"557","Vete","Bad Bunny","latin",92,67,89,10,53,192,4,19,94,"spain"
"558","China","Anuel AA","latin",105,81,79,8,61,302,8,9,94,"spain"
"559","Fantasias","Rauw Alejandro","latin",94,70,88,6,79,200,14,7,93,"spain"
"560","Adicto (with Anuel AA & Ozuna)","Tainy","pop reggaeton",80,84,73,18,62,271,2,7,92,"spain"
"561","Callaita","Bad Bunny","latin",176,62,61,24,24,251,60,31,92,"spain"
"562","Whine Up","Nicky Jam","latin",105,67,82,10,66,215,5,8,91,"spain"
"563","Indeciso","Reik","latin",95,75,74,11,90,217,18,5,90,"spain"
"564","Aventura","Lunay","latin",92,73,73,10,88,217,22,4,90,"spain"
"565","Yo x Ti, Tu x Mi","ROSAL�A","r&b en espanol",92,76,78,14,58,201,46,23,90,"spain"
"566","Si Te Vas","Sech","panamanian pop",174,64,73,14,55,205,9,13,90,"spain"
"567","Quizas","Rich Music LTD","reggaeton",176,82,73,23,68,216,3,15,90,"spain"
"568","Hola - Remix","Dalex","latin",182,67,65,8,34,250,47,31,89,"spain"
"569","DJ No Pare (feat. Zion, Dalex, Lenny Tav�rez) - Remix","Justin Quiles","latin",170,71,74,8,83,259,5,9,88,"spain"
"570","Otro Trago - Remix","Sech","panamanian pop",176,79,73,6,76,288,7,20,88,"spain"
"571","No Me Conoce - Remix","Jhay Cortez","latin",92,79,81,9,58,309,14,7,88,"spain"
"572","Con Altura","ROSAL�A","r&b en espanol",98,69,88,5,75,162,39,12,88,"spain"
"573","Blanco","J Balvin","latin",100,71,87,9,59,146,3,13,87,"spain"
"574","Bellaquita - Remix","Dalex","latin",166,72,80,18,76,305,14,8,87,"spain"
"575","Last Christmas","Wham!","new wave pop",108,48,74,36,95,263,19,3,85,"spain"
"576","Te Quemaste","Manuel Turizo","colombian pop",176,77,73,29,72,199,61,13,85,"spain"
"577","Que Calor (feat. J Balvin & El Alfa)","Major Lazer","dance pop",126,89,80,29,46,170,4,7,85,"spain"
"578","Feliz Navidad","Jos� Feliciano","latin pop",149,86,49,35,96,182,53,4,85,"spain"
"579","Alocao (With Bad Gyal)","Omar Montes","trap espanol",178,75,67,11,70,209,21,6,84,"spain"
"580","Fantas�a","Ozuna","latin",180,72,70,9,78,175,23,9,84,"spain"
"581","It's Beginning to Look a Lot like Christmas","Michael Bubl�","adult standards",93,22,33,34,36,207,88,3,84,"spain"
"582","Sigues Con El","Dimelo Flow","latin",88,67,88,7,68,227,11,11,83,"spain"
"583","B11 (feat. Myke Towers)","Rvssian","latin",100,72,76,13,20,252,7,12,83,"spain"
"584","Perreo en La Luna","Rich Music LTD","reggaeton",174,76,71,37,72,219,27,29,83,"spain"
"585","105 F Remix","KEVVO","perreo",100,75,90,29,74,464,37,16,83,"spain"
"586","Easy - Remix","Jhay Cortez","latin",94,75,89,15,44,220,19,9,81,"spain"
"587","Hasta Que Salga el Sol","Ozuna","latin",96,82,83,13,60,188,2,7,81,"spain"
"588","Contando Lunares (feat. Cruz Cafun�)","Don Patricio","trap espanol",106,52,86,5,71,220,44,13,81,"spain"
"589","Rueda","Chimbala","dembow",130,92,89,5,96,211,17,9,78,"spain"
"590","La Rubia - Remix 2","La Nueva Escuela","dembow",110,72,76,38,75,211,32,13,77,"spain"
"591","A D�nde Vamos","Morat","colombian pop",149,61,63,23,96,203,1,4,77,"spain"
"592","+","Aitana","latin pop",160,67,56,12,68,219,11,3,76,"spain"
"593","Zorra","Bad Gyal","rap catalan",176,65,64,8,74,186,68,19,76,"spain"
"594","Prend�o","Rvfv","trap espanol",125,54,83,13,90,190,17,9,76,"spain"
"595","Se iluminaba","Fred De Palma","italian arena pop",124,69,79,7,62,174,8,6,74,"spain"
"596","La Cama","Lunay","latin",174,90,70,18,82,189,20,6,74,"spain"
"597","Si por mi fuera","Beret","spanish hip hop",150,75,70,10,88,209,3,3,73,"spain"
"598","Fuera De Mi Mente","L�rica","spanish pop",94,94,74,5,70,181,17,10,73,"spain"
"599","Goteo","Duki","argentine hip hop",108,78,47,19,44,164,19,4,73,"spain"
"600","Prendio - Remix","Rvfv","trap espanol",125,76,75,8,75,191,19,6,61,"spain"
"601","ROXANNE","Arizona Zervas","pop rap",117,60,62,46,46,164,5,15,99,"usa"
"602","Circles","Post Malone","dfw rap",120,76,70,9,55,215,19,4,99,"usa"
"603","All I Want for Christmas Is You","Mariah Carey","dance pop",150,63,34,7,35,241,16,4,98,"usa"
"604","Falling","Trevor Daniel","alternative r&b",127,43,78,9,24,159,12,4,97,"usa"
"605","Santa Tell Me","Ariana Grande","dance pop",192,62,53,29,59,204,5,12,95,"usa"
"606","Bandit (with YoungBoy Never Broke Again)","Juice WRLD","chicago rap",180,63,47,13,43,189,7,34,94,"usa"
"607","Rockin' Around The Christmas Tree","Brenda Lee","adult standards",67,47,59,51,90,126,61,5,93,"usa"
"608","Jingle Bell Rock","Bobby Helms","adult standards",120,42,75,7,81,131,64,4,92,"usa"
"609","It's the Most Wonderful Time of the Year","Andy Williams","adult standards",202,60,24,12,78,152,77,4,92,"usa"
"610","Happy Xmas (War Is Over) - Remastered","John Lennon","album rock",147,61,33,77,40,214,32,3,92,"usa"
"611","Mistletoe","Justin Bieber","canadian pop",162,56,66,8,85,183,50,5,92,"usa"
"612","BOP","DaBaby","nc hip hop",127,79,77,13,84,160,19,37,92,"usa"
"613","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra","adult standards",142,26,65,36,84,155,90,6,91,"usa"
"614","Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney","album rock",95,51,77,7,77,228,32,3,91,"usa"
"615","Futsal Shuffle 2020","Lil Uzi Vert","melodic rap",137,46,88,23,30,199,3,16,90,"usa"
"616","The Christmas Song (Merry Christmas To You)","Nat King Cole","adult standards",79,21,32,14,21,192,92,3,89,"usa"
"617","White Christmas","Bing Crosby","adult standards",131,16,32,34,25,177,67,4,89,"usa"
"618","The Box","Roddy Ricch","melodic rap",117,59,90,79,64,197,10,6,89,"usa"
"619","Let It Snow! Let It Snow! Let It Snow!","Dean Martin","adult standards",134,24,45,18,70,117,91,4,89,"usa"
"620","Have Yourself A Merry Little Christmas","Sam Smith","pop",75,18,44,32,34,171,96,4,89,"usa"
"621","It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como","adult standards",113,28,73,12,72,156,76,6,88,"usa"
"622","Underneath the Tree","Kelly Clarkson","dance pop",160,81,51,21,69,230,0,5,88,"usa"
"623","Christmas (Baby Please Come Home)","Mariah Carey","dance pop",127,78,57,11,70,153,2,3,88,"usa"
"624","Do They Know It's Christmas? - 1984 Version","Band Aid",NA,115,64,60,10,35,223,16,4,87,"usa"
"625","Blue Christmas","Elvis Presley","adult standards",95,27,47,14,58,129,90,4,87,"usa"
"626","Run Rudolph Run - Single Version","Chuck Berry","blues rock",152,72,68,8,96,166,81,9,87,"usa"
"627","Like It's Christmas","Jonas Brothers","boy band",146,57,73,5,61,201,2,10,87,"usa"
"628","Santa Baby","Ariana Grande","dance pop",96,78,75,28,77,171,5,14,87,"usa"
"629","Last Christmas","Wham!","new wave pop",108,48,74,36,95,263,19,3,85,"usa"
"630","Feliz Navidad","Jos� Feliciano","latin pop",149,86,49,35,96,182,53,4,85,"usa"
"631","Santa Claus Is Coming To Town","The Jackson 5","adult standards",147,76,69,18,96,144,42,3,85,"usa"
"632","It's Beginning to Look a Lot like Christmas","Michael Bubl�","adult standards",93,22,33,34,36,207,88,3,84,"usa"
"633","I Saw Mommy Kissing Santa Claus","The Jackson 5","adult standards",129,71,58,82,61,181,26,5,84,"usa"
"634","Joy To The World","Nat King Cole","adult standards",102,34,55,11,66,85,82,3,84,"usa"
"635","Do You Hear What I Hear? - Remastered 2006","Bing Crosby","adult standards",102,25,57,20,41,166,81,3,84,"usa"
"636","Carol of the Bells","Mykola Dmytrovych Leontovych","post-romantic era",47,11,42,18,80,85,99,4,84,"usa"
"637","A Holly Jolly Christmas - Single Version","Burl Ives","adult standards",140,37,67,10,86,133,59,3,83,"usa"
"638","Winter Wonderland - Remastered 2006","Bing Crosby","adult standards",127,23,59,12,54,144,83,5,83,"usa"
"639","Little Saint Nick - 1991 Remix","The Beach Boys","baroque pop",131,55,60,5,97,119,11,3,83,"usa"
"640","Holly Jolly Christmas","Michael Bubl�","adult standards",151,43,61,9,74,122,86,4,82,"usa"
"641","Christmas (Baby Please Come Home)","Darlene Love","adult standards",126,76,34,8,36,166,39,5,82,"usa"
"642","Mele Kalikimaka (Merry Christmas)","Bing Crosby","adult standards",202,22,50,28,62,175,65,9,82,"usa"
"643","Mistletoe And Holly - Remastered 1999","Frank Sinatra","adult standards",110,10,61,8,34,136,80,4,81,"usa"
"644","Baby, It's Cold Outside","Dean Martin","adult standards",130,20,47,5,54,144,88,6,79,"usa"
"645","Have Yourself A Merry Little Christmas","Judy Garland","adult standards",181,18,16,26,11,162,97,4,79,"usa"
"646","O Tannenbaum","Vince Guaraldi Trio","adult standards",123,19,58,13,34,309,91,4,79,"usa"
"647","Sleigh Ride","The Ronettes","adult standards",92,77,53,32,85,181,40,3,77,"usa"
"648","Santa Baby (with Henri Ren� & His Orchestra)","Eartha Kitt","adult standards",84,14,70,19,49,206,90,6,76,"usa"
"649","Christmas Time Is Here - Vocal","Vince Guaraldi Trio","adult standards",75,14,39,10,9,166,98,3,75,"usa"
"650","This Christmas","Donny Hathaway","chicago soul",93,65,63,25,68,231,29,4,59,"usa"
"651","Dance Monkey","Tones and I","australian pop",98,59,82,15,51,209,69,9,100,"france"
"652","ROXANNE","Arizona Zervas","pop rap",117,60,62,46,46,164,5,15,99,"france"
"653","Memories","Maroon 5","pop",91,32,76,8,57,189,84,5,99,"france"
"654","All I Want for Christmas Is You","Mariah Carey","dance pop",150,63,34,7,35,241,16,4,98,"france"
"655","RITMO (Bad Boys For Life)","The Black Eyed Peas","dance pop",105,72,72,24,67,222,3,7,97,"france"
"656","Don't Start Now","Dua Lipa","dance pop",124,79,79,10,68,183,1,8,97,"france"
"657","Blinding Lights","The Weeknd","canadian contemporary r&b",171,80,51,9,35,202,0,6,96,"france"
"658","Ride It","Regard","pop edm",118,75,88,11,88,158,18,9,95,"france"
"659","Trampoline (with ZAYN)","SHAED","electropop",127,46,62,14,50,184,56,3,92,"france"
"660","Let It Snow! Let It Snow! Let It Snow!","Dean Martin","adult standards",134,24,45,18,70,117,91,4,89,"france"
"661","Se�orita","Shawn Mendes","canadian pop",117,55,76,8,75,191,4,3,89,"france"
"662","Last Christmas","Wham!","new wave pop",108,48,74,36,95,263,19,3,85,"france"
"663","Que Calor (feat. J Balvin & El Alfa)","Major Lazer","dance pop",126,89,80,29,46,170,4,7,85,"france"
"664","Roses - Imanbek Remix","SAINt JHN","melodic rap",122,72,77,35,90,177,2,5,85,"france"
"665","Popopop","Gambi","pop urbaine",130,65,83,14,41,156,5,31,82,"france"
"666","Holly Jolly Christmas","Michael Bubl�","adult standards",151,43,61,9,74,122,86,4,82,"france"
"667","Moulaga","Heuss L'enfoir�","french hip hop",125,70,71,10,48,180,33,10,79,"france"
"668","Oui ou non","Ang�le","belgian pop",200,57,65,16,36,197,64,14,79,"france"
"669","H� oh","Gambi","pop urbaine",105,59,83,20,54,178,7,15,79,"france"
"670","Ne reviens pas","Gradur","french hip hop",125,78,93,17,93,189,21,6,78,"france"
"671","0.4","Aya Nakamura","basshall",92,69,84,13,68,175,40,21,78,"france"
"672","Woin Woin feat. RK","Larry","french hip hop",130,64,90,8,70,173,17,29,77,"france"
"673","Loin de moi","Naza","francoton",97,46,89,6,50,144,64,24,77,"france"
"674","Mayday (feat. Ninho)","SCH","french hip hop",152,60,61,9,25,210,61,36,77,"france"
"675","Baian�","Bakermat","deep euro house",122,76,50,33,49,182,0,5,77,"france"
"676","La vie qu'on m�ne","Ninho","french hip hop",113,76,80,11,46,193,69,4,76,"france"
"677","B�timent","Niska","french hip hop",168,70,66,7,65,211,29,14,76,"france"
"678","Un peu de haine","PLK","french hip hop",134,66,77,22,42,168,44,6,76,"france"
"679","Ma belle","Moha La Squale","french hip hop",82,66,74,9,47,158,76,6,76,"france"
"680","Jamais","Mister V","french hip hop",150,67,64,11,79,192,43,9,75,"france"
"681","Dans l'univers","Nekfeu","french hip hop",132,42,64,14,20,244,33,17,75,"france"
"682","Maman ne le sait pas (feat. Niska)","Ninho","french hip hop",145,88,76,12,39,203,40,19,75,"france"
"683","Street","Maes","french hip hop",148,30,66,21,49,185,30,8,74,"france"
"684","Aristocrate","Heuss L'enfoir�","french hip hop",117,61,94,10,63,170,27,7,74,"france"
"685","M�chant","Niska","french hip hop",98,80,53,37,41,191,33,34,74,"france"
"686","Marie","Koba LaD","french hip hop",132,75,78,12,68,195,12,4,74,"france"
"687","93% [Tijuana]","GLK","francoton",136,69,80,18,80,223,62,6,73,"france"
"688","Distant","Maes","french hip hop",105,73,75,7,49,162,56,19,72,"france"
"689","Avant toi","Vitaa","francoton",142,40,63,10,25,224,88,3,72,"france"
"690","Elle est bonne sa m�re","Vegedream","francoton",105,74,79,34,47,197,33,6,70,"france"
"691","Compliqu�","Dadju","francoton",75,74,70,16,93,215,55,5,68,"france"
"692","Ma vie","Dadju","francoton",201,50,51,16,32,209,12,8,68,"france"
"693","Mortel","Koba LaD","french hip hop",154,69,58,10,66,204,15,46,67,"france"
"694","Un million par mois","Djadja & Dinaz","french hip hop",135,54,76,13,72,189,66,5,67,"france"
"695","Block","Larry","french hip hop",77,74,72,41,71,157,29,28,65,"france"
"696","Petit Papa No�l","Tino Rossi","chanson",105,31,33,6,42,196,99,3,61,"france"
"697","C�te Ouest","47ter","french hip hop",152,59,77,18,58,233,50,9,59,"france"
"698","God Bless (feat. Damso)","Hamza","belgian hip hop",83,57,86,6,23,162,1,12,57,"france"
"699","Reste","Ma�tre Gims","french hip hop",100,54,75,10,69,232,48,4,54,"france"
"700","Gasolina (feat. Gambi)","Hamza","belgian hip hop",130,61,95,12,72,179,28,19,52,"france"
"701","Memories","Maroon 5","pop",91,32,76,8,57,189,84,5,99,"india"
"702","ROXANNE","Arizona Zervas","pop rap",117,60,62,46,46,164,5,15,99,"india"
"703","Circles","Post Malone","dfw rap",120,76,70,9,55,215,19,4,99,"india"
"704","Falling","Trevor Daniel","alternative r&b",127,43,78,9,24,159,12,4,97,"india"
"705","Blinding Lights","The Weeknd","canadian contemporary r&b",171,80,51,9,35,202,0,6,96,"india"
"706","bad guy","Billie Eilish","electropop",135,43,70,10,56,194,33,38,96,"india"
"707","hot girl bummer","blackbear","pop",130,56,78,40,68,185,13,8,96,"india"
"708","Heartless","The Weeknd","canadian contemporary r&b",170,75,53,12,20,200,1,11,94,"india"
"709","Trampoline (with ZAYN)","SHAED","electropop",127,46,62,14,50,184,56,3,92,"india"
"710","My Oh My (feat. DaBaby)","Camila Cabello","dance pop",105,49,72,9,38,171,2,3,91,"india"
"711","Se�orita","Shawn Mendes","canadian pop",117,55,76,8,75,191,4,3,89,"india"
"712","Believer","Imagine Dragons","modern rock",125,78,78,8,67,204,6,13,89,"india"
"713","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","dfw rap",90,52,76,7,93,158,53,6,88,"india"
"714","On My Way","Alan Walker","electro house",170,69,51,30,30,194,2,10,84,"india"
"715","Ghungroo (From 'War')","Arijit Singh","desi pop",118,73,70,53,86,303,7,3,75,"india"
"716","Tum Hi Aana (From 'Marjaavaan')","Payal Dev","modern bollywood",90,40,47,15,35,249,63,2,74,"india"
"717","Filhall","B Praak","desi pop",80,66,53,13,59,255,61,6,74,"india"
"718","Makhna","Tanishk Bagchi","desi pop",125,70,70,16,43,183,17,4,73,"india"
"719","Yaad Piya Ki Aane Lagi","Neha Kakkar","desi pop",108,83,86,11,69,257,38,5,72,"india"
"720","Duniyaa (From 'Luka Chuppi')","Akhil","desi pop",77,66,44,13,52,223,70,4,71,"india"
"721","Pachtaoge (From 'Jaani Ve')","Arijit Singh","desi pop",170,69,52,12,48,227,62,3,71,"india"
"722","Tujhe Kitna Chahne Lage (From 'Kabir Singh')","Arijit Singh","desi pop",70,40,43,11,31,285,74,4,69,"india"
"723","Pal Pal Dil Ke Paas- Title Track","Arijit Singh","desi pop",124,51,56,6,39,255,59,3,69,"india"
"724","Sakhiyaan","Maninder Buttar","desi pop",83,67,71,20,36,179,30,4,69,"india"
"725","Proper Patola","Badshah","desi hip hop",172,82,77,32,49,179,49,9,69,"india"
"726","Bekhayali (From 'Kabir Singh')","Sachet Tandon","desi pop",172,59,31,32,35,372,45,4,68,"india"
"727","Dheeme Dheeme (From 'Pati Patni Aur Woh')","Tony Kakkar","desi pop",110,97,80,35,69,177,15,4,68,"india"
"728","8 Parche","Baani Sandhu","punjabi pop",174,86,65,20,73,210,16,21,68,"india"
"729","Jai Jai Shivshankar (From 'War')","Vishal Dadlani","desi pop",129,90,83,7,53,231,26,8,68,"india"
"730","Chal Bombay","DIVINE","desi hip hop",95,62,86,12,51,174,4,32,68,"india"
"731","Ik Tera","Maninder Buttar","desi pop",93,71,83,11,49,161,10,7,68,"india"
"732","Vaaste","Dhvani Bhanushali","desi pop",90,48,44,10,32,196,45,4,68,"india"
"733","Kalank (Title Track)","Arijit Singh","desi pop",118,55,57,9,44,311,52,4,68,"india"
"734","Shaitan Ka Saala (From 'Housefull 4')","Sohail Sen","desi pop",100,77,84,37,34,147,28,19,67,"india"
"735","Naah Goriye (From 'Bala')","B Praak","desi pop",100,77,82,6,72,185,46,6,67,"india"
"736","Ek Toh Kum Zindagani (From 'Marjaavaan')","Neha Kakkar","desi pop",128,97,67,6,72,190,6,9,67,"india"
"737","Don't Be Shy Again (From 'Bala')","Sachin-Jigar","desi pop",105,91,80,31,91,164,10,6,65,"india"
"738","Mere Sohneya (From 'Kabir Singh')","Sachet Tandon","desi pop",136,64,38,22,65,193,56,4,64,"india"
"739","Tu Hi Yaar Mera (From 'Pati Patni Aur Woh')","Rochak","desi pop",87,38,72,13,48,201,59,6,64,"india"
"740","Chandigarh Mein","Badshah","desi hip hop",100,87,81,7,34,205,1,6,64,"india"
"741","Dance Like","Harrdy Sandhu","desi pop",100,82,86,30,54,172,38,10,64,"india"
"742","Sauda Khara Khara","Diljit Dosanjh","desi pop",145,92,69,11,88,211,9,6,63,"india"
"743","Kaise Hua (From 'Kabir Singh')","Vishal Mishra","desi pop",138,46,39,11,15,235,45,4,62,"india"
"744","Muqabla (From 'Street Dancer 3D')","Yash Narvekar","desi pop",120,91,80,39,54,176,2,9,61,"india"
"745","Ve Maahi","Arijit Singh","desi pop",103,55,65,22,29,224,41,3,61,"india"
"746","O Saki Saki (From 'Batla House')","Neha Kakkar","desi pop",108,96,74,36,57,191,16,7,60,"india"
"747","Tera Ban Jaunga (From 'Kabir Singh')","Akhil Sachdeva","desi pop",94,53,61,13,40,236,82,2,59,"india"
"748","Mummy Nu Pasand (From 'Jai Mummy Di')","Sunanda Sharma","desi pop",94,97,78,35,80,185,1,11,57,"india"
"749","Hauli Hauli (From 'De De Pyaar De')","Garry Sandhu","bhangra",95,98,71,34,57,209,2,8,56,"india"
"750","Lamborghini (From 'Jai Mummy Di')","Meet Bros.","desi pop",NA,NA,NA,NA,NA,247,NA,NA,48,"india"
"751","Dance Monkey","Tones and I","australian pop",98,59,82,15,51,209,69,9,100,"indonesia"
"752","Memories","Maroon 5","pop",91,32,76,8,57,189,84,5,99,"indonesia"
"753","ROXANNE","Arizona Zervas","pop rap",117,60,62,46,46,164,5,15,99,"indonesia"
"754","Lose You To Love Me","Selena Gomez","dance pop",102,34,51,21,9,206,58,4,97,"indonesia"
"755","Falling","Trevor Daniel","alternative r&b",127,43,78,9,24,159,12,4,97,"indonesia"
"756","Someone You Loved","Lewis Capaldi","pop",110,41,50,11,45,182,75,3,96,"indonesia"
"757","Lucid Dreams","Juice WRLD","chicago rap",84,57,51,34,22,240,35,20,94,"indonesia"
"758","10,000 Hours (with Justin Bieber)","Dan + Shay","contemporary country",90,63,65,11,43,168,15,3,93,"indonesia"
"759","It's You","Ali Gatie","canadian hip hop",96,46,73,19,40,213,37,3,90,"indonesia"
"760","Se�orita","Shawn Mendes","canadian pop",117,55,76,8,75,191,4,3,89,"indonesia"
"761","Mean It","Lauv","pop",96,45,75,17,34,233,4,9,89,"indonesia"
"762","Boy With Luv (feat. Halsey)","BTS","k-pop",120,86,65,19,80,230,9,10,87,"indonesia"
"763","comethru","Jeremy Zucker","pop",94,18,80,62,61,182,61,6,86,"indonesia"
"764","Beautiful People (feat. Khalid)","Ed Sheeran","pop",93,65,64,8,55,198,12,19,86,"indonesia"
"765","I Don't Care (with Justin Bieber)","Ed Sheeran","pop",102,68,80,9,84,220,9,4,85,"indonesia"
"766","On My Way","Alan Walker","electro house",170,69,51,30,30,194,2,10,84,"indonesia"
"767","Can We Kiss Forever?","Kina","pop",110,13,52,9,12,188,89,4,84,"indonesia"
"768","So Am I","Ava Max","dance pop",130,66,68,35,61,183,7,4,84,"indonesia"
"769","Takeaway","The Chainsmokers","electropop",100,51,53,10,35,210,13,3,83,"indonesia"
"770","Location Unknown <U+25D0> - Brooklyn Session","HONNE","uk pop",92,29,51,8,40,328,94,4,80,"indonesia"
"771","Halu","Feby Putri",NA,116,25,34,11,10,266,87,4,79,"indonesia"
"772","I Love You 3000","Stephanie Poetri","indonesian pop",90,38,65,39,41,210,91,4,79,"indonesia"
"773","Way Back Home (feat. Conor Maynard) - Sam Feldt Edit","SHAUN","k-pop",106,75,74,22,45,192,27,3,79,"indonesia"
"774","Tolong","Budi Doremi","indonesian pop",136,20,44,10,24,250,89,4,78,"indonesia"
"775","lowkey","NIKI","indie r&b",118,49,75,9,23,171,43,6,78,"indonesia"
"776","Lebih Dari Egoku","Mawar De Jongh","indonesian pop",80,39,67,10,33,249,74,3,77,"indonesia"
"777","100 Degrees","Rich Brian","indonesian hip hop",81,65,76,52,66,166,12,7,77,"indonesia"
"778","Waktu Yang Salah","Fiersa Besari","indonesian indie",130,28,67,10,30,326,79,3,76,"indonesia"
"779","Celengan Rindu","Fiersa Besari","indonesian indie",117,54,64,14,66,224,11,4,76,"indonesia"
"780","Tanpa Tergesa","Juicy Luicy","indonesian pop",96,29,70,11,45,218,31,3,76,"indonesia"
"781","Psycho","Red Velvet","k-pop",140,67,66,9,41,211,19,4,75,"indonesia"
"782","Selamat (Selamat Tinggal)","Virgoun","indonesian pop",80,58,36,12,37,314,52,3,75,"indonesia"
"783","Adu Rayu","Yovie Widianto","indonesian pop",100,37,56,11,22,208,60,5,75,"indonesia"
"784","Pilu Membiru","Kunto Aji","indonesian indie",82,27,36,12,5,252,89,3,75,"indonesia"
"785","One Only","Pamungkas","indonesian indie",145,52,25,9,11,255,22,3,74,"indonesia"
"786","Kumau Dia","Andmesh","indonesian pop",158,51,47,32,60,256,16,3,73,"indonesia"
"787","Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Fiersa Besari","indonesian indie",125,83,53,20,25,250,13,4,72,"indonesia"
"788","April","Fiersa Besari","indonesian indie",80,47,36,19,57,264,59,3,72,"indonesia"
"789","Dan...","Sheila On 7","indonesian pop",125,54,66,11,54,289,16,3,72,"indonesia"
"790","I Love You but I'm Letting Go","Pamungkas","indonesian indie",80,32,39,11,13,220,97,3,71,"indonesia"
"791","Kartonyono Medot Janji","Denny Caknan",NA,130,78,73,21,75,262,31,3,71,"indonesia"
"792","Percaya Aku","Chintya Gabriella",NA,140,49,54,20,30,232,74,3,71,"indonesia"
"793","Kenangan Manis","Pamungkas","indonesian indie",140,68,60,9,72,208,5,3,69,"indonesia"
"794","Bicara (feat. Monita Tahalea)","TheOvertunes","indonesian pop",77,37,57,8,37,236,56,3,68,"indonesia"
"795","Cinta Luar Biasa","Andmesh","indonesian pop",136,23,58,10,32,256,81,3,66,"indonesia"
"796","Nyaman","Andmesh","indonesian pop",83,31,54,15,46,227,82,3,65,"indonesia"
"797","Hanya Rindu","Andmesh","indonesian pop",179,16,28,11,20,252,89,3,65,"indonesia"
"798","Secukupnya","Hindia","indonesian indie",102,80,73,35,93,205,19,3,65,"indonesia"
"799","Speechless (Full)","Naomi Scott","hollywood",125,49,47,12,23,209,47,3,65,"indonesia"
"800","Tak Ingin Pisah Lagi","Marion Jola","indonesian pop",95,40,66,14,34,266,58,3,64,"indonesia"
"823","Dance Monkey","Tones and I","australian pop",98,59,82,15,51,209,69,9,100,"italy"
"824","Memories","Maroon 5","pop",91,32,76,8,57,189,84,5,99,"italy"
"825","ROXANNE","Arizona Zervas","pop rap",117,60,62,46,46,164,5,15,99,"italy"
"826","All I Want for Christmas Is You","Mariah Carey","dance pop",150,63,34,7,35,241,16,4,98,"italy"
"827","RITMO (Bad Boys For Life)","The Black Eyed Peas","dance pop",105,72,72,24,67,222,3,7,97,"italy"
"828","Falling","Trevor Daniel","alternative r&b",127,43,78,9,24,159,12,4,97,"italy"
"829","Santa Tell Me","Ariana Grande","dance pop",192,62,53,29,59,204,5,12,95,"italy"
"830","Rockin' Around The Christmas Tree","Brenda Lee","adult standards",67,47,59,51,90,126,61,5,93,"italy"
"831","Happy Xmas (War Is Over) - Remastered","John Lennon","album rock",147,61,33,77,40,214,32,3,92,"italy"
"832","Jingle Bell Rock","Bobby Helms","adult standards",120,42,75,7,81,131,64,4,92,"italy"
"833","Mistletoe","Justin Bieber","canadian pop",162,56,66,8,85,183,50,5,92,"italy"
"834","It's the Most Wonderful Time of the Year","Andy Williams","adult standards",202,60,24,12,78,152,77,4,92,"italy"
"835","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra","adult standards",142,26,65,36,84,155,90,6,91,"italy"
"836","Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney","album rock",95,51,77,7,77,228,32,3,91,"italy"
"837","Ayy Macarena","Tyga","pop rap",96,63,82,7,72,132,13,23,90,"italy"
"838","Underneath the Tree","Kelly Clarkson","dance pop",160,81,51,21,69,230,0,5,88,"italy"
"839","Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Bruce Springsteen","heartland rock",140,67,36,73,41,268,36,5,86,"italy"
